date,ad_spend,impressions,clicks,gads_conversions,gads_conv_value,spend_high_intent,spend_crm_verified,orders,revenue,paid_orders,paid_revenue,new_customers,returning_orders,returning_revenue,first_order_customers,repeat_within_90d,leads_created,leads_converted,sessions,engaged_sessions,lp_conversions,lp_revenue,emails_sent,emails_delivered,emails_opened,emails_clicked,emails_sent_segmented,emails_sent_batch,emails_delivered_segmented,emails_opened_segmented,emails_clicked_segmented,carts_created,carts_recovered,open_pipeline_value,clv_value,cohort_d30_gp
2025-04-01,4820.56,112541,2311,152.2,8749.16,3549,3875,195,11461.44,146,8509.35,172,23,1388.69,172,12,55,2,7016,2660,235,14020.71,23209,22632,3124,390,198,23011,196,37,5,62,0,391690.2,47.92,7180.61
2025-04-02,4636.53,105113,2281,135.9,8682.57,3403,3712,178,10657.09,134,8021.99,157,21,1232.95,157,20,54,1,6357,2459,228,13746.54,20482,19972,2715,355,417,20065,409,56,7,69,0,392085.54,47.92,6870.33
2025-04-03,5060.91,115311,2566,158.7,9511.83,3718,4099,198,12346.15,149,9404.77,174,24,1554.23,174,16,54,2,7580,2955,272,16275.4,21293,20761,2956,338,148,21145,145,30,4,65,0,412801.76,47.92,7838.73
2025-04-04,5220.8,115955,2410,153.8,9967.22,3866,4241,203,12491.69,152,9428.2,178,25,1564.95,178,14,58,1,7001,2671,240,14723.89,22096,21550,2913,357,401,21695,397,53,7,74,0,413150.26,47.92,7840.62
2025-04-05,5231.1,126335,2559,169.2,9714.93,3887,4176,213,12525.85,160,9498.96,187,26,1564.23,187,18,55,0,7303,2800,245,14093.38,20744,20232,2877,332,725,20019,713,123,16,71,0,407362.78,47.92,8053.66
2025-04-06,4775.53,103293,2268,155.9,8959.45,3543,3870,196,11663.19,147,8641.48,172,24,1325.45,172,21,58,0,6641,2540,232,13699.63,23716,23126,3271,384,928,22788,908,159,21,76,0,409041.21,47.92,7429.04
2025-04-07,4987.61,108857,2432,155.3,9545.19,3716,4060,202,12172.11,152,9155.75,177,25,1433.67,177,22,58,0,6599,2567,219,13798.63,550,538,87,12,550,0,538,87,12,64,0,406537.52,47.92,7759.56
2025-04-08,4450.59,101478,2151,135.1,8601.21,3286,3622,175,11250.11,132,8579.9,154,21,1300.44,154,19,53,0,6343,2460,223,13815.94,22616,22053,3077,379,157,22459,155,33,4,69,0,407025.08,47.97,7107.24
2025-04-09,4684.79,100288,2188,152.6,8960.14,3474,3799,192,11505.3,144,8784.11,168,24,1483.53,168,9,52,2,6410,2445,220,13190.56,23235,22660,3171,375,797,22438,783,134,19,70,0,401563.75,48.0,7139.37
2025-04-10,4516.48,100483,2217,145.1,8589.74,3367,3668,182,11320.24,137,8519.68,159,23,1473.84,159,17,55,0,6502,2512,225,14115.47,20235,19732,2763,336,594,19641,582,96,13,72,0,429935.74,48.04,7022.0
2025-04-11,4613.25,102535,2124,146.4,8711.17,3458,3755,184,11437.91,138,8495.82,161,23,1478.73,161,14,60,1,6264,2450,224,13704.98,21256,20726,2841,340,737,20519,720,108,15,73,0,434307.13,48.08,7286.19
2025-04-12,5254.64,117106,2590,165.4,10245.67,3937,4267,218,12875.46,164,9647.01,190,28,1683.02,190,26,64,1,7439,2897,262,16280.47,21127,20599,2876,355,0,21127,0,0,0,78,1,408637.39,48.11,8086.3
2025-04-13,4890.75,113267,2379,162.5,10043.07,3644,3947,205,12613.88,154,9419.23,179,26,1689.45,179,20,56,0,7021,2790,237,14784.63,21215,20685,2769,361,0,21215,0,0,0,80,2,432715.67,48.14,7889.89
2025-04-14,4561.15,101080,2109,154.0,8987.87,3418,3722,193,11648.25,145,8669.57,168,25,1477.8,168,22,56,1,6176,2355,216,13090.42,21510,20972,2908,379,0,21510,0,0,0,76,1,410185.4,48.16,7663.26
2025-04-15,4708.0,102344,2232,151.0,8971.15,3549,3818,188,11162.28,142,8413.03,164,24,1456.93,164,11,52,1,6617,2581,235,14253.37,23669,23078,3179,417,218,23451,213,41,6,74,0,417591.0,48.2,6913.09
2025-04-16,4956.41,111127,2398,159.9,9754.23,3649,3988,201,12703.08,152,9707.56,175,26,1668.26,175,16,53,1,7042,2728,249,15255.7,24014,23420,3175,426,1245,22769,1220,213,29,72,1,415685.77,48.25,7838.99
2025-04-17,4489.7,93817,2133,153.1,8672.75,3300,3633,182,11239.54,137,8296.06,158,24,1413.27,158,21,53,1,6058,2394,204,12509.67,1046,1032,157,22,1046,0,1032,157,22,76,0,413886.87,48.3,7156.99
2025-04-18,5225.03,107156,2532,176.7,10303.66,3855,4241,213,13021.22,161,9705.84,185,28,1793.67,185,25,56,3,7407,2876,243,14981.33,22887,22320,3207,402,1271,21616,1244,203,28,75,2,426531.31,48.35,8118.1
2025-04-19,4918.83,111018,2449,160.1,10339.22,3673,3979,210,12861.48,158,9834.67,182,28,1828.11,182,16,59,2,6692,2600,240,14918.01,22369,21810,2857,385,0,22369,0,0,0,73,1,427127.25,48.41,8040.59
2025-04-20,4988.39,102412,2283,161.5,9497.05,3738,4051,200,12339.74,151,9092.61,173,27,1656.31,173,22,64,1,6760,2601,231,13769.48,19594,19107,2516,335,501,19093,491,70,9,69,2,441685.66,48.47,7779.86
2025-04-21,4920.35,109592,2457,158.1,10230.53,3656,3969,202,12745.22,153,9630.51,175,27,1531.36,175,19,54,0,7381,2964,262,16543.51,21956,21413,2846,377,970,20986,952,147,21,67,2,448104.69,48.54,7978.56
2025-04-22,4427.81,93362,2185,144.6,9030.63,3296,3567,181,11741.98,137,8861.47,157,24,1545.65,157,23,62,0,6397,2531,218,13163.02,21265,20737,2926,352,659,20606,646,101,13,75,1,425558.03,48.6,7459.68
2025-04-23,4785.74,108996,2353,161.5,9925.44,3545,3860,203,12649.11,153,9359.51,176,27,1623.53,176,18,58,2,6674,2647,234,14194.94,22908,22343,3245,417,1529,21379,1498,244,34,77,2,449823.32,48.66,7849.48
2025-04-24,4548.84,97294,2195,147.4,8915.0,3408,3719,189,11492.43,143,8769.68,163,26,1605.26,163,14,54,1,6415,2490,222,13641.99,20259,19762,2766,334,744,19515,735,125,17,71,0,439226.02,48.71,7065.76
2025-04-25,4813.88,102304,2220,165.2,9338.74,3587,3894,200,12178.43,151,9088.06,173,27,1771.57,173,22,63,2,6566,2570,228,14292.6,20554,20047,2779,357,856,19698,841,151,21,76,2,429331.07,48.75,7488.61
2025-04-26,5003.57,102198,2462,160.1,9903.66,3706,4065,199,12697.74,151,9639.16,172,27,1747.03,172,21,68,2,7040,2773,248,15722.51,21572,21033,2980,349,0,21572,0,0,0,74,2,452721.2,48.81,7905.57
2025-04-27,4997.59,112428,2523,164.9,10518.07,3695,4040,208,13332.87,157,10007.65,179,29,1909.52,179,27,63,0,7789,3096,273,16915.38,21853,21308,2946,386,943,20910,921,168,24,84,1,421522.61,48.87,8421.29
2025-04-28,4692.35,101915,2347,162.1,10200.0,3489,3808,207,12790.18,157,9653.95,178,29,1846.28,178,17,54,0,6670,2609,235,14546.46,22113,21560,2882,398,0,22113,0,0,0,76,1,443736.9,48.93,7964.06
2025-04-29,4673.09,101283,2330,157.2,9731.36,3459,3794,202,12346.44,153,9404.7,174,28,1785.65,174,20,63,1,6935,2766,243,14487.11,773,763,140,20,773,0,763,140,20,67,2,433410.76,49.0,7598.91
2025-04-30,4189.68,87613,2139,136.8,8573.07,3107,3391,176,11064.96,133,8173.03,152,24,1360.32,152,21,59,0,6157,2448,215,13552.7,23268,22694,3042,402,946,22322,930,145,20,66,0,456108.07,49.06,7102.91
2025-05-01,4898.79,107380,2339,165.7,10169.71,3652,3990,210,12991.33,159,9730.11,181,29,1832.32,181,24,55,1,6909,2749,242,14884.27,20993,20476,2718,347,676,20317,667,107,15,82,1,456602.74,49.12,7981.48
2025-05-02,5267.26,108840,2625,171.9,10462.09,3921,4308,220,13604.67,167,10324.07,189,31,1873.18,189,17,67,2,7756,3075,278,17067.84,20825,20310,2932,380,497,20328,490,66,10,80,0,460355.4,49.17,8370.42
2025-05-03,4953.15,108067,2469,169.7,10765.98,3678,4026,214,13241.92,162,10042.02,186,28,1790.35,186,31,66,2,7341,2867,261,16847.81,22604,22041,3133,395,282,22322,277,52,8,87,3,459303.8,49.23,8489.54
2025-05-04,4935.32,100639,2414,174.1,10273.09,3650,3999,215,13047.53,163,9857.39,185,30,1901.94,185,28,66,2,6989,2711,240,14482.72,19450,18964,2596,329,0,19450,0,0,0,83,3,440586.91,49.28,7989.73
2025-05-05,4951.78,105127,2541,169.4,9954.9,3720,4041,209,12419.04,159,9380.79,180,29,1776.59,180,26,64,1,7314,2898,250,15439.02,22053,21503,2956,380,420,21633,411,87,12,73,0,445218.59,49.32,7817.49
2025-05-06,4703.78,97216,2396,166.4,10152.82,3459,3776,207,13151.0,157,9901.92,177,30,1945.12,177,24,55,3,7382,2912,271,17299.48,20647,20131,2823,358,0,20647,0,0,0,71,1,447724.98,49.35,8221.58
2025-05-07,4649.37,99905,2278,159.5,9690.13,3517,3830,203,12732.25,154,9637.97,174,29,1768.7,174,30,60,1,6823,2716,235,14383.05,1221,1202,195,28,1221,0,1202,195,28,78,3,466709.68,49.39,7864.18
2025-05-08,4657.63,97048,2222,163.7,10315.87,3494,3818,199,12364.7,151,9374.27,170,29,1808.54,170,21,56,0,6538,2591,228,14637.13,20112,19611,2855,366,456,19656,446,64,9,75,2,465208.25,49.42,7795.44
2025-05-09,4987.42,107102,2611,176.7,10453.01,3703,4056,216,13257.07,164,10187.99,185,31,1843.5,185,18,61,0,7102,2789,254,15340.61,23317,22743,3328,433,1253,22064,1231,218,30,79,3,460311.11,49.46,8363.98
2025-05-10,5339.26,113477,2588,176.4,11331.99,3999,4359,222,13778.91,169,10583.96,190,32,2117.06,190,24,62,0,7390,2911,259,16023.13,20293,19795,2829,372,1288,19005,1265,214,31,83,3,453865.25,49.49,8614.01
2025-05-11,4726.3,89023,2235,169.2,10335.16,3579,3853,207,12649.39,157,9718.25,177,30,1970.9,177,25,59,1,6803,2715,240,14100.57,711,700,124,18,711,0,700,124,18,80,2,450391.43,49.51,7655.56
2025-05-12,4773.68,103336,2439,164.2,10477.33,3566,3879,205,12707.12,156,9655.9,176,29,1845.5,176,25,55,1,6840,2705,247,15260.05,21823,21283,3087,377,458,21365,452,76,10,77,2,442039.34,49.54,7866.89
2025-05-13,4391.55,89846,2186,152.9,9563.09,3276,3583,192,12083.72,146,9118.02,165,27,1644.87,165,13,57,1,6506,2634,225,14050.57,21185,20657,2906,378,916,20269,895,143,20,69,2,468867.6,49.56,7506.92
