date,segment,segmented,sends,delivered,opens,clicks
2025-04-01,All contacts (batch),False,23011,22436,3087,385
2025-04-01,Cart Abandoners,True,198,196,37,5
2025-04-02,All contacts (batch),False,20065,19563,2659,348
2025-04-02,Lapsed Customers,True,417,409,56,7
2025-04-03,All contacts (batch),False,21145,20616,2926,334
2025-04-03,VIP Loyalists,True,148,145,30,4
2025-04-04,All contacts (batch),False,21695,21153,2860,350
2025-04-04,Lapsed Customers,True,401,397,53,7
2025-04-05,All contacts (batch),False,20019,19519,2754,316
2025-04-05,Cart Abandoners,True,223,218,41,5
2025-04-05,First-Time Buyers,True,359,355,55,7
2025-04-05,VIP Loyalists,True,143,140,27,4
2025-04-06,All contacts (batch),False,22788,22218,3112,363
2025-04-06,Cart Abandoners,True,237,233,42,6
2025-04-06,New Leads,True,691,675,117,15
2025-04-07,Cart Abandoners,True,199,195,34,5
2025-04-07,First-Time Buyers,True,351,343,53,7
2025-04-08,All contacts (batch),False,22459,21898,3044,375
2025-04-08,VIP Loyalists,True,157,155,33,4
2025-04-09,All contacts (batch),False,22438,21877,3037,356
2025-04-09,New Leads,True,647,636,105,15
2025-04-09,VIP Loyalists,True,150,147,29,4
2025-04-10,All contacts (batch),False,19641,19150,2667,323
2025-04-10,New Leads,True,594,582,96,13
2025-04-11,All contacts (batch),False,20519,20006,2733,325
2025-04-11,Cart Abandoners,True,231,226,43,6
2025-04-11,Lapsed Customers,True,506,494,65,9
2025-04-12,All contacts (batch),False,21127,20599,2876,355
2025-04-13,All contacts (batch),False,21215,20685,2769,361
2025-04-14,All contacts (batch),False,21510,20972,2908,379
2025-04-15,All contacts (batch),False,23451,22865,3138,411
2025-04-15,Cart Abandoners,True,218,213,41,6
2025-04-16,All contacts (batch),False,22769,22200,2962,397
2025-04-16,Cart Abandoners,True,194,191,36,5
2025-04-16,First-Time Buyers,True,362,355,57,8
2025-04-16,New Leads,True,689,674,120,16
2025-04-17,Lapsed Customers,True,445,438,57,8
2025-04-17,New Leads,True,601,594,100,14
2025-04-18,All contacts (batch),False,21616,21076,3004,374
2025-04-18,Lapsed Customers,True,490,482,67,9
2025-04-18,New Leads,True,642,626,107,15
2025-04-18,VIP Loyalists,True,139,136,29,4
2025-04-19,All contacts (batch),False,22369,21810,2857,385
2025-04-20,All contacts (batch),False,19093,18616,2446,326
2025-04-20,Lapsed Customers,True,501,491,70,9
2025-04-21,All contacts (batch),False,20986,20461,2699,356
