date,landing_page,sessions,engaged_sessions,bounce_rate,conversions,revenue
2025-04-01,/,441,123,0.7222,5,279.35
2025-04-01,/collections/bestsellers,549,188,0.6569,11,690.34
2025-04-01,/lp/free-serum-sample,2081,689,0.6687,64,3905.51
2025-04-01,/lp/skincare-routine-quiz,1348,528,0.6081,39,2418.41
2025-04-01,/lp/spf-bundle-20-off,1738,762,0.5618,87,5037.92
2025-04-01,/products/vitamin-c-serum,859,370,0.5695,29,1689.18
2025-04-02,/,386,111,0.712,4,252.12
2025-04-02,/collections/bestsellers,519,193,0.6288,12,709.14
2025-04-02,/lp/free-serum-sample,1823,627,0.6563,57,3592.79
2025-04-02,/lp/skincare-routine-quiz,1129,430,0.6189,33,2066.65
2025-04-02,/lp/spf-bundle-20-off,1731,787,0.5453,95,5526.09
2025-04-02,/products/vitamin-c-serum,769,311,0.5958,27,1599.75
2025-04-03,/,428,118,0.7233,5,313.29
2025-04-03,/collections/bestsellers,589,214,0.6375,13,780.35
2025-04-03,/lp/free-serum-sample,2386,848,0.6448,76,4430.22
2025-04-03,/lp/skincare-routine-quiz,1316,512,0.611,39,2478.72
2025-04-03,/lp/spf-bundle-20-off,1946,881,0.5474,106,6224.47
2025-04-03,/products/vitamin-c-serum,915,382,0.5828,33,2048.35
2025-04-04,/,441,125,0.7175,5,321.57
2025-04-04,/collections/bestsellers,562,201,0.6431,12,708.43
2025-04-04,/lp/free-serum-sample,2064,683,0.6689,59,3539.07
2025-04-04,/lp/skincare-routine-quiz,1215,461,0.6202,36,2139.55
2025-04-04,/lp/spf-bundle-20-off,1822,817,0.5516,96,6067.58
2025-04-04,/products/vitamin-c-serum,897,384,0.5723,32,1947.69
2025-04-05,/,427,127,0.7026,5,287.83
2025-04-05,/collections/bestsellers,622,215,0.6539,14,800.78
2025-04-05,/lp/free-serum-sample,2117,720,0.6597,60,3493.49
2025-04-05,/lp/skincare-routine-quiz,1322,502,0.6199,36,2114.64
2025-04-05,/lp/spf-bundle-20-off,1913,855,0.553,98,5475.77
2025-04-05,/products/vitamin-c-serum,902,381,0.5777,32,1920.87
2025-04-06,/,370,103,0.7228,4,234.93
2025-04-06,/collections/bestsellers,505,181,0.6408,11,673.48
2025-04-06,/lp/free-serum-sample,2071,691,0.6665,66,3988.44
2025-04-06,/lp/skincare-routine-quiz,1220,471,0.6137,32,1997.74
2025-04-06,/lp/spf-bundle-20-off,1719,776,0.5488,94,5354.55
2025-04-06,/products/vitamin-c-serum,756,318,0.5796,25,1450.49
2025-04-07,/,390,112,0.7121,5,296.85
2025-04-07,/collections/bestsellers,499,175,0.6484,11,645.0
2025-04-07,/lp/free-serum-sample,2131,756,0.6452,63,4050.26
2025-04-07,/lp/skincare-routine-quiz,1118,451,0.5968,31,1878.11
2025-04-07,/lp/spf-bundle-20-off,1660,748,0.5491,83,5349.19
2025-04-07,/products/vitamin-c-serum,801,325,0.5947,26,1579.22
2025-04-08,/,357,109,0.6948,4,265.03
2025-04-08,/collections/bestsellers,460,170,0.6315,11,698.92
2025-04-08,/lp/free-serum-sample,1958,679,0.6531,62,3817.2
2025-04-08,/lp/skincare-routine-quiz,1184,461,0.6108,34,2028.08
2025-04-08,/lp/spf-bundle-20-off,1643,733,0.5539,88,5588.46
2025-04-08,/products/vitamin-c-serum,741,308,0.584,24,1418.25
2025-04-09,/,358,111,0.6899,5,291.28
2025-04-09,/collections/bestsellers,478,166,0.6528,11,688.21
2025-04-09,/lp/free-serum-sample,2000,662,0.6689,64,3798.98
2025-04-09,/lp/skincare-routine-quiz,1095,426,0.6111,30,1731.87
2025-04-09,/lp/spf-bundle-20-off,1673,734,0.5615,83,4961.01
2025-04-09,/products/vitamin-c-serum,806,346,0.5705,27,1719.21
2025-04-10,/,403,112,0.7229,5,305.87
2025-04-10,/collections/bestsellers,548,195,0.6441,13,849.67
2025-04-10,/lp/free-serum-sample,1849,602,0.6744,56,3464.19
2025-04-10,/lp/skincare-routine-quiz,1169,476,0.5931,34,2197.44
2025-04-10,/lp/spf-bundle-20-off,1678,778,0.5364,87,5393.95
2025-04-10,/products/vitamin-c-serum,855,349,0.592,30,1904.35
2025-04-11,/,385,109,0.7181,4,246.15
2025-04-11,/collections/bestsellers,488,179,0.6328,11,683.37
2025-04-11,/lp/free-serum-sample,1802,645,0.6418,55,3228.45
2025-04-11,/lp/skincare-routine-quiz,1088,421,0.6133,31,1861.68
2025-04-11,/lp/spf-bundle-20-off,1708,771,0.5488,94,5951.18
2025-04-11,/products/vitamin-c-serum,793,325,0.5896,29,1734.15
2025-04-12,/,422,131,0.6894,5,299.23
2025-04-12,/collections/bestsellers,641,235,0.6327,14,804.02
2025-04-12,/lp/free-serum-sample,2098,738,0.6484,65,3973.73
2025-04-12,/lp/skincare-routine-quiz,1409,536,0.6195,42,2599.27
2025-04-12,/lp/spf-bundle-20-off,1955,873,0.5534,105,6720.84
2025-04-12,/products/vitamin-c-serum,914,384,0.5799,31,1883.38
2025-04-13,/,408,112,0.7244,5,303.71
2025-04-13,/collections/bestsellers,569,212,0.6278,13,782.13
2025-04-13,/lp/free-serum-sample,2083,734,0.6477,60,3770.6
2025-04-13,/lp/skincare-routine-quiz,1250,512,0.59,36,2099.46
2025-04-13,/lp/spf-bundle-20-off,1850,868,0.531,94,5981.59
2025-04-13,/products/vitamin-c-serum,861,352,0.5914,29,1847.14
2025-04-14,/,353,101,0.7134,4,242.26
2025-04-14,/collections/bestsellers,498,187,0.624,12,680.17
2025-04-14,/lp/free-serum-sample,1965,657,0.6658,62,3884.48
2025-04-14,/lp/skincare-routine-quiz,1094,433,0.6039,31,1891.72
2025-04-14,/lp/spf-bundle-20-off,1501,664,0.5574,81,4810.85
2025-04-14,/products/vitamin-c-serum,765,313,0.5914,26,1580.94
2025-04-15,/,386,116,0.6994,5,322.1
2025-04-15,/collections/bestsellers,500,188,0.6237,12,729.68
2025-04-15,/lp/free-serum-sample,2052,694,0.662,66,3905.17
2025-04-15,/lp/skincare-routine-quiz,1147,456,0.6021,31,1930.72
2025-04-15,/lp/spf-bundle-20-off,1775,795,0.5522,95,5697.21
2025-04-15,/products/vitamin-c-serum,757,332,0.5611,26,1668.49
2025-04-16,/,428,120,0.7203,5,315.25
2025-04-16,/collections/bestsellers,538,186,0.6542,13,814.25
2025-04-16,/lp/free-serum-sample,2231,800,0.6414,70,4432.25
2025-04-16,/lp/skincare-routine-quiz,1309,521,0.6017,38,2364.78
2025-04-16,/lp/spf-bundle-20-off,1707,758,0.5562,95,5590.46
2025-04-16,/products/vitamin-c-serum,829,343,0.5858,28,1738.71
2025-04-17,/,364,103,0.7184,4,251.1
2025-04-17,/collections/bestsellers,456,160,0.6497,10,584.27
2025-04-17,/lp/free-serum-sample,1774,635,0.6421,54,3338.43
2025-04-17,/lp/skincare-routine-quiz,1163,440,0.6219,32,2031.98
2025-04-17,/lp/spf-bundle-20-off,1617,758,0.531,81,4931.16
2025-04-17,/products/vitamin-c-serum,684,298,0.5642,23,1372.73
2025-04-18,/,417,128,0.693,5,316.28
2025-04-18,/collections/bestsellers,574,198,0.6546,13,781.62
2025-04-18,/lp/free-serum-sample,2345,813,0.6534,68,4424.6
2025-04-18,/lp/skincare-routine-quiz,1376,557,0.5954,38,2228.35
2025-04-18,/lp/spf-bundle-20-off,1780,793,0.5546,88,5337.79
2025-04-18,/products/vitamin-c-serum,915,387,0.5766,31,1892.69
2025-04-19,/,444,130,0.7063,6,376.68
2025-04-19,/collections/bestsellers,536,191,0.6442,12,718.04
2025-04-19,/lp/free-serum-sample,1964,705,0.6411,63,3804.49
2025-04-19,/lp/skincare-routine-quiz,1217,472,0.6122,36,2176.72
2025-04-19,/lp/spf-bundle-20-off,1753,783,0.5534,95,6106.42
2025-04-19,/products/vitamin-c-serum,778,319,0.5898,28,1735.66
2025-04-20,/,436,130,0.701,5,313.24
2025-04-20,/collections/bestsellers,566,204,0.6392,12,711.45
2025-04-20,/lp/free-serum-sample,2086,736,0.647,66,3810.12
2025-04-20,/lp/skincare-routine-quiz,1213,460,0.6207,36,2289.1
2025-04-20,/lp/spf-bundle-20-off,1647,726,0.5593,83,4789.14
2025-04-20,/products/vitamin-c-serum,812,345,0.5757,29,1856.43
2025-04-21,/,419,126,0.6999,5,299.04
2025-04-21,/collections/bestsellers,625,236,0.623,14,909.4
2025-04-21,/lp/free-serum-sample,2206,787,0.6433,66,4165.32
2025-04-21,/lp/skincare-routine-quiz,1258,511,0.594,37,2334.64
2025-04-21,/lp/spf-bundle-20-off,1917,886,0.5378,106,6563.69
2025-04-21,/products/vitamin-c-serum,956,418,0.5631,34,2271.42
2025-04-22,/,385,116,0.6997,5,312.93
2025-04-22,/collections/bestsellers,503,192,0.6189,11,692.2
2025-04-22,/lp/free-serum-sample,1933,664,0.6564,57,3363.94
2025-04-22,/lp/skincare-routine-quiz,1199,488,0.5928,36,2160.71
