# ----------------------------------------
# Google Analytics 4 - Landing page report
# Start date: 20250401
# End date: 20260430
# ----------------------------------------
Date,Landing page,Sessions,Engaged sessions,Bounce rate,Conversions,Total revenue
20250401,/lp/free-serum-sample,2081,689,0.6687,64,3905.51
20250401,/lp/spf-bundle-20-off,1738,762,0.5618,87,5037.92
20250401,/lp/skincare-routine-quiz,1348,528,0.6081,39,2418.41
20250401,/products/vitamin-c-serum,859,370,0.5695,29,1689.18
20250401,/collections/bestsellers,549,188,0.6569,11,690.34
20250401,/,441,123,0.7222,5,279.35
20250402,/lp/free-serum-sample,1823,627,0.6563,57,3592.79
20250402,/lp/spf-bundle-20-off,1731,787,0.5453,95,5526.09
20250402,/lp/skincare-routine-quiz,1129,430,0.6189,33,2066.65
20250402,/products/vitamin-c-serum,769,311,0.5958,27,1599.75
20250402,/collections/bestsellers,519,193,0.6288,12,709.14
20250402,/,386,111,0.7120,4,252.12
20250403,/lp/free-serum-sample,2386,848,0.6448,76,4430.22
20250403,/lp/spf-bundle-20-off,1946,881,0.5474,106,6224.47
20250403,/lp/skincare-routine-quiz,1316,512,0.6110,39,2478.72
20250403,/products/vitamin-c-serum,915,382,0.5828,33,2048.35
20250403,/collections/bestsellers,589,214,0.6375,13,780.35
20250403,/,428,118,0.7233,5,313.29
20250404,/lp/free-serum-sample,2064,683,0.6689,59,3539.07
20250404,/lp/spf-bundle-20-off,1822,817,0.5516,96,6067.58
20250404,/lp/skincare-routine-quiz,1215,461,0.6202,36,2139.55
20250404,/products/vitamin-c-serum,897,384,0.5723,32,1947.69
20250404,/collections/bestsellers,562,201,0.6431,12,708.43
20250404,/,441,125,0.7175,5,321.57
20250405,/lp/free-serum-sample,2117,720,0.6597,60,3493.49
20250405,/lp/spf-bundle-20-off,1913,855,0.5530,98,5475.77
20250405,/lp/skincare-routine-quiz,1322,502,0.6199,36,2114.64
20250405,/products/vitamin-c-serum,902,381,0.5777,32,1920.87
20250405,/collections/bestsellers,622,215,0.6539,14,800.78
20250405,/,427,127,0.7026,5,287.83
20250406,/lp/free-serum-sample,2071,691,0.6665,66,3988.44
20250406,/lp/spf-bundle-20-off,1719,776,0.5488,94,5354.55
20250406,/lp/skincare-routine-quiz,1220,471,0.6137,32,1997.74
20250406,/products/vitamin-c-serum,756,318,0.5796,25,1450.49
20250406,/collections/bestsellers,505,181,0.6408,11,673.48
20250406,/,370,103,0.7228,4,234.93
20250407,/lp/free-serum-sample,2131,756,0.6452,63,4050.26
20250407,/lp/spf-bundle-20-off,1660,748,0.5491,83,5349.19
20250407,/lp/skincare-routine-quiz,1118,451,0.5968,31,1878.11
20250407,/products/vitamin-c-serum,801,325,0.5947,26,1579.22
20250407,/collections/bestsellers,499,175,0.6484,11,645.00
20250407,/,390,112,0.7121,5,296.85
20250408,/lp/free-serum-sample,1958,679,0.6531,62,3817.20
20250408,/lp/spf-bundle-20-off,1643,733,0.5539,88,5588.46
20250408,/lp/skincare-routine-quiz,1184,461,0.6108,34,2028.08
20250408,/products/vitamin-c-serum,741,308,0.5840,24,1418.25
20250408,/collections/bestsellers,460,170,0.6315,11,698.92
20250408,/,357,109,0.6948,4,265.03
20250409,/lp/free-serum-sample,2000,662,0.6689,64,3798.98
20250409,/lp/spf-bundle-20-off,1673,734,0.5615,83,4961.01
20250409,/lp/skincare-routine-quiz,1095,426,0.6111,30,1731.87
20250409,/products/vitamin-c-serum,806,346,0.5705,27,1719.21
20250409,/collections/bestsellers,478,166,0.6528,11,688.21
20250409,/,358,111,0.6899,5,291.28
20250410,/lp/free-serum-sample,1849,602,0.6744,56,3464.19
20250410,/lp/spf-bundle-20-off,1678,778,0.5364,87,5393.95
20250410,/lp/skincare-routine-quiz,1169,476,0.5931,34,2197.44
20250410,/products/vitamin-c-serum,855,349,0.5920,30,1904.35
20250410,/collections/bestsellers,548,195,0.6441,13,849.67
20250410,/,403,112,0.7229,5,305.87
20250411,/lp/free-serum-sample,1802,645,0.6418,55,3228.45
20250411,/lp/spf-bundle-20-off,1708,771,0.5488,94,5951.18
20250411,/lp/skincare-routine-quiz,1088,421,0.6133,31,1861.68
20250411,/products/vitamin-c-serum,793,325,0.5896,29,1734.15
20250411,/collections/bestsellers,488,179,0.6328,11,683.37
20250411,/,385,109,0.7181,4,246.15
20250412,/lp/free-serum-sample,2098,738,0.6484,65,3973.73
20250412,/lp/spf-bundle-20-off,1955,873,0.5534,105,6720.84
20250412,/lp/skincare-routine-quiz,1409,536,0.6195,42,2599.27
20250412,/products/vitamin-c-serum,914,384,0.5799,31,1883.38
20250412,/collections/bestsellers,641,235,0.6327,14,804.02
20250412,/,422,131,0.6894,5,299.23
20250413,/lp/free-serum-sample,2083,734,0.6477,60,3770.60
20250413,/lp/spf-bundle-20-off,1850,868,0.5310,94,5981.59
20250413,/lp/skincare-routine-quiz,1250,512,0.5900,36,2099.46
20250413,/products/vitamin-c-serum,861,352,0.5914,29,1847.14
20250413,/collections/bestsellers,569,212,0.6278,13,782.13
20250413,/,408,112,0.7244,5,303.71
20250414,/lp/free-serum-sample,1965,657,0.6658,62,3884.48
20250414,/lp/spf-bundle-20-off,1501,664,0.5574,81,4810.85
20250414,/lp/skincare-routine-quiz,1094,433,0.6039,31,1891.72
20250414,/products/vitamin-c-serum,765,313,0.5914,26,1580.94
20250414,/collections/bestsellers,498,187,0.6240,12,680.17
20250414,/,353,101,0.7134,4,242.26
20250415,/lp/free-serum-sample,2052,694,0.6620,66,3905.17
20250415,/lp/spf-bundle-20-off,1775,795,0.5522,95,5697.21
20250415,/lp/skincare-routine-quiz,1147,456,0.6021,31,1930.72
20250415,/products/vitamin-c-serum,757,332,0.5611,26,1668.49
20250415,/collections/bestsellers,500,188,0.6237,12,729.68
20250415,/,386,116,0.6994,5,322.10
20250416,/lp/free-serum-sample,2231,800,0.6414,70,4432.25
