Search keyword report
"Apr 01, 2025 - Apr 30, 2026"
Day,Campaign,Ad group,Search keyword,Match type,Keyword status,Label,Impressions,Clicks,Cost,Conversions,Conv. value
2025-04-01,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,17018,376,759.53,23.5,1341.53
2025-04-01,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,12748,285,641.59,17.7,1137.72
2025-04-01,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,11616,275,595.36,16.6,955.10
2025-04-01,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,10377,200,409.17,13.2,828.33
2025-04-01,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,7907,171,393.10,13.0,623.61
2025-04-01,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,7079,167,324.87,11.0,652.04
2025-04-01,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,7119,154,345.87,9.9,548.82
2025-04-01,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,4997,109,216.34,7.8,418.32
2025-04-01,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,5918,133,261.10,7.8,529.52
2025-04-01,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,5004,110,224.55,7.6,457.89
2025-04-01,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,3030,73,150.40,4.5,248.46
2025-04-01,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Enabled,Untiered - Broad,8112,159,308.38,9.9,606.92
2025-04-01,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Enabled,Untiered - Broad,5766,128,293.17,9.6,558.30
2025-04-02,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,17641,366,728.89,22.8,1431.26
2025-04-02,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,14169,306,610.90,15.6,1058.12
2025-04-02,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,11150,271,499.35,17.2,1035.12
2025-04-02,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,9235,183,372.53,13.5,807.10
2025-04-02,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,7891,183,372.55,11.6,663.59
2025-04-02,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,6472,157,310.06,9.1,570.47
2025-04-02,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,7839,158,297.50,8.9,546.87
2025-04-02,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,5001,111,229.72,6.8,391.85
2025-04-02,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,6499,121,277.17,7.6,482.72
2025-04-02,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,4933,110,221.09,6.3,441.10
2025-04-02,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,2929,70,123.33,3.9,248.67
2025-04-02,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Enabled,Untiered - Broad,6751,158,302.04,9.9,541.35
2025-04-02,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Enabled,Untiered - Broad,5743,132,265.58,9.0,530.76
