Cart ID,Associated Contact ID,Cart Created Date,Cart Value,Recovered,Recovery Date
900001,317983,2025-04-01,55.91,No,
900002,234777,2025-04-01,69.65,No,
900003,375495,2025-04-01,79.44,No,
900004,246442,2025-04-01,60.47,No,
900005,297033,2025-04-01,90.80,No,
900006,319389,2025-04-01,85.62,No,
900007,302945,2025-04-01,27.67,No,
900008,219819,2025-04-01,95.76,No,
900009,291105,2025-04-01,85.81,No,
900010,275206,2025-04-01,79.72,No,
900011,249929,2025-04-01,102.10,No,
900012,252672,2025-04-01,109.56,No,
900013,226822,2025-04-01,87.01,No,
900014,232355,2025-04-01,68.39,No,
900015,279074,2025-04-01,82.92,No,
900016,235175,2025-04-01,69.22,No,
900017,318618,2025-04-01,44.42,No,
900018,252845,2025-04-01,79.48,No,
900019,275755,2025-04-01,52.96,No,
900020,201380,2025-04-01,53.49,No,
900021,200443,2025-04-01,76.49,No,
900022,258900,2025-04-01,96.17,No,
900023,287877,2025-04-01,37.63,No,
900024,220779,2025-04-01,66.30,No,
900025,255976,2025-04-01,61.95,No,
900026,247571,2025-04-01,46.08,No,
900027,324624,2025-04-01,84.06,No,
900028,298800,2025-04-01,92.04,No,
900029,324710,2025-04-01,76.70,No,
900030,325673,2025-04-01,52.81,No,
900031,341603,2025-04-01,20.24,No,
900032,346269,2025-04-01,95.78,No,
900033,288539,2025-04-01,77.85,No,
900034,207120,2025-04-01,57.36,No,
900035,269140,2025-04-01,83.90,No,
900036,310854,2025-04-01,50.15,No,
900037,261094,2025-04-01,81.84,No,
900038,379157,2025-04-01,99.07,No,
900039,375879,2025-04-01,29.74,No,
900040,264567,2025-04-01,105.01,No,
900041,320285,2025-04-01,76.66,No,
900042,323980,2025-04-01,92.77,No,
900043,214884,2025-04-01,72.31,No,
900044,291628,2025-04-01,105.51,No,
900045,241008,2025-04-01,79.05,No,
900046,255708,2025-04-01,72.00,No,
900047,244926,2025-04-01,74.58,No,
900048,245131,2025-04-01,94.32,No,
900049,257183,2025-04-01,84.51,No,
900050,340462,2025-04-01,64.17,No,
900051,222735,2025-04-01,83.89,No,
900052,370748,2025-04-01,81.74,No,
900053,226866,2025-04-01,54.46,No,
900054,251093,2025-04-01,44.74,No,
900055,232231,2025-04-01,78.82,No,
900056,326750,2025-04-01,74.01,No,
900057,269954,2025-04-01,69.92,No,
900058,245196,2025-04-01,90.80,No,
900059,298495,2025-04-01,62.98,No,
900060,371438,2025-04-01,63.82,No,
900061,323007,2025-04-01,77.81,No,
900062,235781,2025-04-01,60.23,No,
900063,327659,2025-04-02,73.43,No,
900064,233799,2025-04-02,54.22,No,
900065,325457,2025-04-02,63.87,No,
900066,292045,2025-04-02,48.59,No,
900067,348099,2025-04-02,32.08,No,
900068,283948,2025-04-02,85.14,No,
900069,358691,2025-04-02,59.70,No,
900070,293095,2025-04-02,72.36,No,
900071,351363,2025-04-02,61.53,No,
900072,320490,2025-04-02,82.36,No,
900073,232478,2025-04-02,75.96,No,
900074,289698,2025-04-02,57.82,No,
900075,342872,2025-04-02,82.38,No,
900076,261217,2025-04-02,72.76,No,
