Record ID,Deal Name,Deal Stage,Pipeline,Amount,Create Date,Close Date,Associated Contact ID,Deal owner,Google ad click id,Customer first order date
500001,Order 500001,Closed won,Ecommerce Pipeline,73.30,2025-12-01,2025-12-01,200088,PureGlow Storefront,Cj0KCQ42x00000038AbVxYz,2025-12-01
500002,Order 500002,Closed won,Ecommerce Pipeline,42.98,2025-12-01,2025-12-01,200089,PureGlow Storefront,Cj0KCQ42x00000039AbVxYz,2025-12-01
500003,Order 500003,Closed won,Ecommerce Pipeline,46.72,2025-12-01,2025-12-01,200090,PureGlow Storefront,Cj0KCQ42x00000040AbVxYz,2025-12-01
500004,Order 500004,Closed won,Ecommerce Pipeline,73.15,2025-12-01,2025-12-01,119521,PureGlow Storefront,Cj0KCQ42x00000041AbVxYz,2024-10-07
500005,Order 500005,Closed won,Ecommerce Pipeline,53.24,2025-12-01,2025-12-01,184853,PureGlow Storefront,Cj0KCQ42x00000042AbVxYz,2025-07-14
500006,Order 500006,Closed won,Ecommerce Pipeline,66.24,2025-12-01,2025-12-01,200091,PureGlow Storefront,Cj0KCQ42x00000043AbVxYz,2025-12-01
500007,Order 500007,Closed won,Ecommerce Pipeline,58.40,2025-12-01,2025-12-01,188677,PureGlow Storefront,Cj0KCQ42x00000044AbVxYz,2025-10-25
500008,Order 500008,Closed won,Ecommerce Pipeline,62.83,2025-12-01,2025-12-01,200092,PureGlow Storefront,Cj0KCQ42x00000045AbVxYz,2025-12-01
500009,Order 500009,Closed won,Ecommerce Pipeline,82.10,2025-12-01,2025-12-01,189528,PureGlow Storefront,Cj0KCQ42x00000046AbVxYz,2025-02-23
500010,Order 500010,Closed won,Ecommerce Pipeline,86.21,2025-12-01,2025-12-01,200093,PureGlow Storefront,Cj0KCQ42x00000047AbVxYz,2025-12-01
500011,Order 500011,Closed won,Ecommerce Pipeline,68.63,2025-12-01,2025-12-01,200094,PureGlow Storefront,,2025-12-01
500012,Order 500012,Closed won,Ecommerce Pipeline,66.30,2025-12-01,2025-12-01,200095,PureGlow Storefront,Cj0KCQ42x00000048AbVxYz,2025-12-01
500013,Order 500013,Closed won,Ecommerce Pipeline,69.71,2025-12-01,2025-12-01,183266,PureGlow Storefront,Cj0KCQ42x00000049AbVxYz,2025-01-28
500014,Order 500014,Closed won,Ecommerce Pipeline,46.11,2025-12-01,2025-12-01,200096,PureGlow Storefront,Cj0KCQ42x00000050AbVxYz,2025-12-01
500015,Order 500015,Closed won,Ecommerce Pipeline,87.85,2025-12-01,2025-12-01,179664,PureGlow Storefront,,2025-01-08
500016,Order 500016,Closed won,Ecommerce Pipeline,55.11,2025-12-01,2025-12-01,200097,PureGlow Storefront,Cj0KCQ42x00000051AbVxYz,2025-12-01
500017,Order 500017,Closed won,Ecommerce Pipeline,56.14,2025-12-01,2025-12-01,200098,PureGlow Storefront,Cj0KCQ42x00000052AbVxYz,2025-12-01
500018,Order 500018,Closed won,Ecommerce Pipeline,73.49,2025-12-01,2025-12-01,141762,PureGlow Storefront,,2025-02-14
500019,Order 500019,Closed won,Ecommerce Pipeline,94.66,2025-12-01,2025-12-01,184187,PureGlow Storefront,,2025-10-07
500020,Order 500020,Closed won,Ecommerce Pipeline,40.56,2025-12-01,2025-12-01,177812,PureGlow Storefront,,2024-12-12
500021,Order 500021,Closed won,Ecommerce Pipeline,81.00,2025-12-01,2025-12-01,110112,PureGlow Storefront,,2025-09-27
500022,Order 500022,Closed won,Ecommerce Pipeline,62.79,2025-12-01,2025-12-01,183034,PureGlow Storefront,Cj0KCQ42x00000053AbVxYz,2025-07-16
500023,Order 500023,Closed won,Ecommerce Pipeline,79.05,2025-12-01,2025-12-01,200099,PureGlow Storefront,Cj0KCQ42x00000054AbVxYz,2025-12-01
500024,Order 500024,Closed won,Ecommerce Pipeline,62.30,2025-12-01,2025-12-01,200100,PureGlow Storefront,Cj0KCQ42x00000055AbVxYz,2025-12-01
500025,Order 500025,Closed won,Ecommerce Pipeline,71.68,2025-12-01,2025-12-01,187707,PureGlow Storefront,Cj0KCQ42x00000056AbVxYz,2025-08-22
500026,Order 500026,Closed won,Ecommerce Pipeline,64.29,2025-12-01,2025-12-01,155934,PureGlow Storefront,Cj0KCQ42x00000057AbVxYz,2025-10-06
500027,Order 500027,Closed won,Ecommerce Pipeline,110.53,2025-12-01,2025-12-01,200101,PureGlow Storefront,Cj0KCQ42x00000058AbVxYz,2025-12-01
500028,Order 500028,Closed won,Ecommerce Pipeline,89.92,2025-12-01,2025-12-01,200102,PureGlow Storefront,Cj0KCQ42x00000059AbVxYz,2025-12-01
500029,Order 500029,Closed won,Ecommerce Pipeline,39.96,2025-12-01,2025-12-01,176628,PureGlow Storefront,Cj0KCQ42x00000060AbVxYz,2025-10-15
500030,Order 500030,Closed won,Ecommerce Pipeline,57.62,2025-12-01,2025-12-01,200103,PureGlow Storefront,Cj0KCQ42x00000061AbVxYz,2025-12-01
500031,Order 500031,Closed won,Ecommerce Pipeline,82.73,2025-12-01,2025-12-01,200104,PureGlow Storefront,Cj0KCQ42x00000062AbVxYz,2025-12-01
500032,Order 500032,Closed won,Ecommerce Pipeline,94.68,2025-12-01,2025-12-01,188565,PureGlow Storefront,Cj0KCQ42x00000063AbVxYz,2025-07-29
500033,Order 500033,Closed won,Ecommerce Pipeline,73.07,2025-12-01,2025-12-01,167186,PureGlow Storefront,Cj0KCQ42x00000064AbVxYz,2025-11-06
500034,Order 500034,Closed won,Ecommerce Pipeline,82.16,2025-12-01,2025-12-01,200105,PureGlow Storefront,Cj0KCQ42x00000065AbVxYz,2025-12-01
500035,Order 500035,Closed won,Ecommerce Pipeline,80.62,2025-12-01,2025-12-01,200106,PureGlow Storefront,Cj0KCQ42x00000066AbVxYz,2025-12-01
500036,Order 500036,Closed won,Ecommerce Pipeline,61.17,2025-12-01,2025-12-01,200107,PureGlow Storefront,Cj0KCQ42x00000067AbVxYz,2025-12-01
500037,Order 500037,Closed won,Ecommerce Pipeline,110.32,2025-12-01,2025-12-01,200108,PureGlow Storefront,Cj0KCQ42x00000068AbVxYz,2025-12-01
500038,Order 500038,Closed won,Ecommerce Pipeline,93.07,2025-12-01,2025-12-01,200109,PureGlow Storefront,,2025-12-01
500039,Order 500039,Closed won,Ecommerce Pipeline,71.45,2025-12-01,2025-12-01,200110,PureGlow Storefront,Cj0KCQ42x00000069AbVxYz,2025-12-01
500040,Order 500040,Closed won,Ecommerce Pipeline,53.16,2025-12-01,2025-12-01,183741,PureGlow Storefront,Cj0KCQ42x00000070AbVxYz,2025-01-10
500041,Order 500041,Closed won,Ecommerce Pipeline,56.23,2025-12-01,2025-12-01,200111,PureGlow Storefront,Cj0KCQ42x00000071AbVxYz,2025-12-01
500042,Order 500042,Closed won,Ecommerce Pipeline,101.83,2025-12-01,2025-12-01,188515,PureGlow Storefront,Cj0KCQ42x00000072AbVxYz,2024-10-03
500043,Order 500043,Closed won,Ecommerce Pipeline,70.54,2025-12-01,2025-12-01,180179,PureGlow Storefront,Cj0KCQ42x00000073AbVxYz,2025-07-25
500044,Order 500044,Closed won,Ecommerce Pipeline,60.49,2025-12-01,2025-12-01,173451,PureGlow Storefront,Cj0KCQ42x00000074AbVxYz,2025-10-20
500045,Order 500045,Closed won,Ecommerce Pipeline,81.68,2025-12-01,2025-12-01,200112,PureGlow Storefront,Cj0KCQ42x00000075AbVxYz,2025-12-01
500046,Order 500046,Closed won,Ecommerce Pipeline,44.86,2025-12-01,2025-12-01,200113,PureGlow Storefront,Cj0KCQ42x00000076AbVxYz,2025-12-01
500047,Order 500047,Closed won,Ecommerce Pipeline,113.66,2025-12-01,2025-12-01,175968,PureGlow Storefront,Cj0KCQ42x00000077AbVxYz,2025-04-21
500048,Order 500048,Closed won,Ecommerce Pipeline,61.73,2025-12-01,2025-12-01,200114,PureGlow Storefront,Cj0KCQ42x00000078AbVxYz,2025-12-01
500049,Order 500049,Closed won,Ecommerce Pipeline,91.70,2025-12-01,2025-12-01,200115,PureGlow Storefront,Cj0KCQ42x00000079AbVxYz,2025-12-01
500050,Order 500050,Closed won,Ecommerce Pipeline,72.63,2025-12-01,2025-12-01,187244,PureGlow Storefront,Cj0KCQ42x00000080AbVxYz,2024-12-25
500051,Order 500051,Closed won,Ecommerce Pipeline,89.03,2025-12-01,2025-12-01,200116,PureGlow Storefront,Cj0KCQ42x00000081AbVxYz,2025-12-01
500052,Order 500052,Closed won,Ecommerce Pipeline,64.12,2025-12-01,2025-12-01,175152,PureGlow Storefront,Cj0KCQ42x00000082AbVxYz,2025-02-08
500053,Order 500053,Closed won,Ecommerce Pipeline,70.35,2025-12-01,2025-12-01,166100,PureGlow Storefront,Cj0KCQ42x00000083AbVxYz,2025-10-31
500054,Order 500054,Closed won,Ecommerce Pipeline,79.12,2025-12-01,2025-12-01,177971,PureGlow Storefront,Cj0KCQ42x00000084AbVxYz,2025-07-27
500055,Order 500055,Closed won,Ecommerce Pipeline,77.80,2025-12-01,2025-12-01,200117,PureGlow Storefront,Cj0KCQ42x00000085AbVxYz,2025-12-01
500056,Order 500056,Closed won,Ecommerce Pipeline,39.71,2025-12-01,2025-12-01,200118,PureGlow Storefront,Cj0KCQ42x00000086AbVxYz,2025-12-01
500057,Order 500057,Closed won,Ecommerce Pipeline,82.13,2025-12-01,2025-12-01,178494,PureGlow Storefront,Cj0KCQ42x00000087AbVxYz,2024-10-29
500058,Order 500058,Closed won,Ecommerce Pipeline,90.97,2025-12-01,2025-12-01,200119,PureGlow Storefront,Cj0KCQ42x00000088AbVxYz,2025-12-01
500059,Order 500059,Closed won,Ecommerce Pipeline,38.26,2025-12-01,2025-12-01,182697,PureGlow Storefront,Cj0KCQ42x00000089AbVxYz,2025-03-31
500060,Order 500060,Closed won,Ecommerce Pipeline,80.23,2025-12-01,2025-12-01,127423,PureGlow Storefront,Cj0KCQ42x00000090AbVxYz,2025-11-11
500061,Order 500061,Closed won,Ecommerce Pipeline,63.62,2025-12-01,2025-12-01,200120,PureGlow Storefront,Cj0KCQ42x00000091AbVxYz,2025-12-01
500062,Order 500062,Closed won,Ecommerce Pipeline,61.01,2025-12-01,2025-12-01,132009,PureGlow Storefront,Cj0KCQ42x00000092AbVxYz,2025-03-28
500063,Order 500063,Closed won,Ecommerce Pipeline,74.91,2025-12-01,2025-12-01,200121,PureGlow Storefront,,2025-12-01
500064,Order 500064,Closed won,Ecommerce Pipeline,88.76,2025-12-01,2025-12-01,200122,PureGlow Storefront,Cj0KCQ42x00000093AbVxYz,2025-12-01
