Email name,Subject,Audience,Date sent,Sends,Delivered,Opens,Clicks,Unsubscribes
2025-12-01 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2025-12-01,18513,18050,2922,361,29
2025-12-01 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2025-12-01,667,652,215,36,1
2025-12-01 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-01,317,312,131,23,0
2025-12-02 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-02,1117,1104,291,42,1
2025-12-02 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-02,324,318,128,24,0
2025-12-03 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2025-12-03,1622,1589,507,82,1
2025-12-04 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2025-12-04,645,638,210,39,1
2025-12-04 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2025-12-04,804,788,231,36,1
2025-12-04 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-04,353,347,138,25,0
2025-12-05 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2025-12-05,16227,15821,2751,309,25
2025-12-05 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2025-12-05,1478,1457,460,74,1
2025-12-06 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2025-12-06,629,616,210,35,1
2025-12-06 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2025-12-06,869,852,246,40,1
2025-12-07 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-07,985,965,260,37,1
2025-12-07 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-07,340,334,140,25,0
2025-12-09 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2025-12-09,16131,15728,2732,304,25
2025-12-09 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-09,980,965,245,38,1
2025-12-09 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-09,402,398,163,30,0
2025-12-10 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2025-12-10,17817,17372,2889,351,28
2025-12-10 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2025-12-10,543,536,185,33,0
2025-12-10 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2025-12-10,921,903,263,41,1
2025-12-10 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-10,1207,1180,304,45,1
2025-12-11 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2025-12-11,1613,1585,485,81,1
2025-12-11 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-11,1006,987,269,40,1
2025-12-12 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2025-12-12,651,635,214,36,1
2025-12-12 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2025-12-12,1039,1028,324,51,1
2025-12-13 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-13,1264,1240,315,48,1
2025-12-14 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2025-12-14,896,881,269,41,1
2025-12-14 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-14,1059,1032,282,42,1
2025-12-15 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-15,1264,1231,325,48,1
2025-12-16 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2025-12-16,1635,1599,498,83,1
2025-12-16 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-16,970,959,265,39,1
2025-12-17 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2025-12-17,18616,18151,3068,365,29
2025-12-17 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-17,370,363,143,28,0
2025-12-18 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2025-12-18,600,588,196,34,1
2025-12-18 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2025-12-18,939,916,275,44,1
2025-12-18 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-18,1268,1255,335,51,1
2025-12-18 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-18,314,309,129,22,0
2025-12-20 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2025-12-20,15855,15459,2611,315,25
2025-12-20 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2025-12-20,608,593,198,34,1
2025-12-20 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-20,1211,1184,307,45,1
2025-12-20 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-20,339,336,142,23,0
2025-12-21 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-21,319,311,130,24,0
2025-12-22 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-22,973,953,242,35,1
2025-12-22 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-22,341,335,138,24,0
2025-12-23 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2025-12-23,18331,17873,3121,362,29
2025-12-23 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-23,1021,1000,254,41,1
2025-12-23 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-23,317,313,125,24,0
2025-12-24 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-24,1230,1207,314,48,1
2025-12-24 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-24,355,346,137,24,0
2025-12-25 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2025-12-25,16554,16140,2840,353,26
2025-12-25 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-25,353,349,149,25,0
2025-12-26 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2025-12-26,15877,15480,2615,337,25
2025-12-26 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2025-12-26,664,653,210,40,1
2025-12-26 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2025-12-26,971,948,301,44,1
2025-12-26 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-26,1171,1148,313,48,1
2025-12-27 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2025-12-27,15767,15373,2686,342,25
2025-12-27 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2025-12-27,1383,1360,411,73,1
2025-12-27 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2025-12-27,860,847,251,39,1
2025-12-27 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-27,319,313,126,24,0
2025-12-28 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2025-12-28,15890,15493,2572,341,25
2025-12-28 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2025-12-28,566,556,179,32,1
2025-12-28 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2025-12-28,853,834,260,40,1
2025-12-28 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2025-12-28,1049,1025,273,39,1
2025-12-29 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2025-12-29,905,894,263,45,1
2025-12-30 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2025-12-30,825,814,244,39,1
2025-12-30 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2025-12-30,390,380,160,27,0
2025-12-31 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2025-12-31,1714,1685,519,92,2
2025-12-31 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2025-12-31,663,654,213,39,1
2026-01-01 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-01-01,380,372,151,27,0
2026-01-02 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-01-02,1461,1425,453,71,1
2026-01-02 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-01-02,1025,1011,317,51,1
2026-01-02 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-01-02,1138,1122,291,45,1
2026-01-03 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-01-03,17304,16871,2814,340,27
2026-01-03 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-01-03,986,961,293,48,1
2026-01-04 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-01-04,15621,15230,2539,343,24
2026-01-04 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-01-04,931,908,282,45,1
2026-01-04 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-01-04,1092,1072,275,44,1
2026-01-05 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-01-05,16046,15645,2599,339,25
2026-01-05 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-01-05,1591,1561,514,80,1
2026-01-06 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-01-06,17184,16754,3051,348,27
2026-01-06 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-01-06,705,696,236,41,1
2026-01-07 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-01-07,16492,16080,2791,337,26
2026-01-07 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-01-07,1382,1355,420,71,1
