Snapshot Date,Open Pipeline Value,Pipeline
2025-12-01,811482.00,Ecommerce Pipeline
2025-12-02,812175.00,Ecommerce Pipeline
2025-12-03,854954.72,Ecommerce Pipeline
2025-12-04,855544.44,Ecommerce Pipeline
2025-12-05,843430.02,Ecommerce Pipeline
2025-12-06,846775.20,Ecommerce Pipeline
2025-12-07,841463.39,Ecommerce Pipeline
2025-12-08,842343.99,Ecommerce Pipeline
2025-12-09,830915.23,Ecommerce Pipeline
2025-12-10,889487.51,Ecommerce Pipeline
2025-12-11,898395.42,Ecommerce Pipeline
2025-12-12,845168.16,Ecommerce Pipeline
2025-12-13,894833.61,Ecommerce Pipeline
2025-12-14,848114.85,Ecommerce Pipeline
2025-12-15,863297.72,Ecommerce Pipeline
2025-12-16,859230.72,Ecommerce Pipeline
2025-12-17,855385.00,Ecommerce Pipeline
2025-12-18,881386.58,Ecommerce Pipeline
2025-12-19,882487.35,Ecommerce Pipeline
2025-12-20,912431.76,Ecommerce Pipeline
2025-12-21,925555.86,Ecommerce Pipeline
2025-12-22,878856.90,Ecommerce Pipeline
2025-12-23,928833.23,Ecommerce Pipeline
2025-12-24,906818.58,Ecommerce Pipeline
2025-12-25,886260.55,Ecommerce Pipeline
2025-12-26,934408.65,Ecommerce Pipeline
2025-12-27,869889.28,Ecommerce Pipeline
2025-12-28,915600.26,Ecommerce Pipeline
2025-12-29,894164.62,Ecommerce Pipeline
2025-12-30,940855.97,Ecommerce Pipeline
2025-12-31,941741.40,Ecommerce Pipeline
2026-01-01,949345.55,Ecommerce Pipeline
2026-01-02,947041.96,Ecommerce Pipeline
2026-01-03,908320.32,Ecommerce Pipeline
2026-01-04,917738.95,Ecommerce Pipeline
2026-01-05,922774.94,Ecommerce Pipeline
2026-01-06,961767.37,Ecommerce Pipeline
2026-01-07,958538.49,Ecommerce Pipeline
2026-01-08,948315.15,Ecommerce Pipeline
2026-01-09,934904.84,Ecommerce Pipeline
2026-01-10,927619.78,Ecommerce Pipeline
2026-01-11,910291.25,Ecommerce Pipeline
2026-01-12,965404.67,Ecommerce Pipeline
2026-01-13,970328.98,Ecommerce Pipeline
2026-01-14,953616.05,Ecommerce Pipeline
2026-01-15,935301.66,Ecommerce Pipeline
2026-01-16,921686.99,Ecommerce Pipeline
2026-01-17,977828.87,Ecommerce Pipeline
2026-01-18,967923.08,Ecommerce Pipeline
2026-01-19,933832.42,Ecommerce Pipeline
2026-01-20,955686.97,Ecommerce Pipeline
2026-01-21,970589.82,Ecommerce Pipeline
2026-01-22,943083.40,Ecommerce Pipeline
2026-01-23,942592.99,Ecommerce Pipeline
2026-01-24,942036.80,Ecommerce Pipeline
2026-01-25,965693.65,Ecommerce Pipeline
2026-01-26,1005953.81,Ecommerce Pipeline
2026-01-27,1000878.72,Ecommerce Pipeline
2026-01-28,948108.75,Ecommerce Pipeline
2026-01-29,1023208.62,Ecommerce Pipeline
2026-01-30,968290.81,Ecommerce Pipeline
2026-01-31,974702.03,Ecommerce Pipeline
2026-02-01,1013337.32,Ecommerce Pipeline
2026-02-02,979989.95,Ecommerce Pipeline
2026-02-03,995803.98,Ecommerce Pipeline
2026-02-04,974980.38,Ecommerce Pipeline
2026-02-05,1001717.58,Ecommerce Pipeline
2026-02-06,984959.57,Ecommerce Pipeline
2026-02-07,1027577.61,Ecommerce Pipeline
2026-02-08,1017030.61,Ecommerce Pipeline
2026-02-09,985464.70,Ecommerce Pipeline
2026-02-10,998238.10,Ecommerce Pipeline
2026-02-11,1042100.93,Ecommerce Pipeline
2026-02-12,1010102.39,Ecommerce Pipeline
2026-02-13,1011117.12,Ecommerce Pipeline
2026-02-14,1017564.43,Ecommerce Pipeline
2026-02-15,1070586.37,Ecommerce Pipeline
2026-02-16,1002495.03,Ecommerce Pipeline
2026-02-17,1027092.30,Ecommerce Pipeline
2026-02-18,1066009.12,Ecommerce Pipeline
2026-02-19,1045587.62,Ecommerce Pipeline
2026-02-20,1061732.28,Ecommerce Pipeline
2026-02-21,1078172.01,Ecommerce Pipeline
2026-02-22,1089227.51,Ecommerce Pipeline
2026-02-23,1074285.95,Ecommerce Pipeline
2026-02-24,1066362.09,Ecommerce Pipeline
2026-02-25,1060340.93,Ecommerce Pipeline
2026-02-26,1057042.18,Ecommerce Pipeline
2026-02-27,1070421.82,Ecommerce Pipeline
2026-02-28,1071992.95,Ecommerce Pipeline
2026-03-01,1077352.47,Ecommerce Pipeline
2026-03-02,1089833.19,Ecommerce Pipeline
2026-03-03,1038354.57,Ecommerce Pipeline
2026-03-04,1055284.90,Ecommerce Pipeline
2026-03-05,1109948.90,Ecommerce Pipeline
2026-03-06,1096478.56,Ecommerce Pipeline
2026-03-07,1120205.22,Ecommerce Pipeline
2026-03-08,1086212.80,Ecommerce Pipeline
2026-03-09,1059410.95,Ecommerce Pipeline
2026-03-10,1123253.59,Ecommerce Pipeline
2026-03-11,1090905.33,Ecommerce Pipeline
2026-03-12,1120832.46,Ecommerce Pipeline
2026-03-13,1067665.14,Ecommerce Pipeline
2026-03-14,1063424.71,Ecommerce Pipeline
2026-03-15,1065217.97,Ecommerce Pipeline
2026-03-16,1107435.65,Ecommerce Pipeline
2026-03-17,1154955.71,Ecommerce Pipeline
2026-03-18,1088301.56,Ecommerce Pipeline
2026-03-19,1085369.78,Ecommerce Pipeline
2026-03-20,1124611.44,Ecommerce Pipeline
2026-03-21,1108491.66,Ecommerce Pipeline
2026-03-22,1152154.70,Ecommerce Pipeline
2026-03-23,1098411.34,Ecommerce Pipeline
2026-03-24,1087521.76,Ecommerce Pipeline
2026-03-25,1092129.43,Ecommerce Pipeline
2026-03-26,1100315.53,Ecommerce Pipeline
2026-03-27,1120039.48,Ecommerce Pipeline
2026-03-28,1140874.45,Ecommerce Pipeline
2026-03-29,1150299.15,Ecommerce Pipeline
2026-03-30,1108550.00,Ecommerce Pipeline
2026-03-31,1150024.47,Ecommerce Pipeline
2026-04-01,1123909.30,Ecommerce Pipeline
2026-04-02,1193726.98,Ecommerce Pipeline
2026-04-03,1136438.39,Ecommerce Pipeline
2026-04-04,1170726.09,Ecommerce Pipeline
2026-04-05,1160541.76,Ecommerce Pipeline
2026-04-06,1159764.36,Ecommerce Pipeline
2026-04-07,1182098.69,Ecommerce Pipeline
2026-04-08,1178847.93,Ecommerce Pipeline
2026-04-09,1201254.88,Ecommerce Pipeline
2026-04-10,1163703.42,Ecommerce Pipeline
2026-04-11,1204970.40,Ecommerce Pipeline
2026-04-12,1207830.23,Ecommerce Pipeline
2026-04-13,1180131.30,Ecommerce Pipeline
2026-04-14,1167021.58,Ecommerce Pipeline
2026-04-15,1195740.59,Ecommerce Pipeline
2026-04-16,1235955.03,Ecommerce Pipeline
2026-04-17,1150983.89,Ecommerce Pipeline
2026-04-18,1218643.56,Ecommerce Pipeline
2026-04-19,1181359.11,Ecommerce Pipeline
2026-04-20,1206016.57,Ecommerce Pipeline
2026-04-21,1165585.63,Ecommerce Pipeline
2026-04-22,1163319.33,Ecommerce Pipeline
2026-04-23,1243388.93,Ecommerce Pipeline
2026-04-24,1195693.60,Ecommerce Pipeline
2026-04-25,1188490.41,Ecommerce Pipeline
2026-04-26,1210351.30,Ecommerce Pipeline
2026-04-27,1255824.65,Ecommerce Pipeline
2026-04-28,1182158.85,Ecommerce Pipeline
2026-04-29,1259543.35,Ecommerce Pipeline
2026-04-30,1221200.90,Ecommerce Pipeline
2026-05-01,1250377.10,Ecommerce Pipeline
2026-05-02,1287613.49,Ecommerce Pipeline
2026-05-03,1259348.20,Ecommerce Pipeline
2026-05-04,1257836.70,Ecommerce Pipeline
2026-05-05,1277276.66,Ecommerce Pipeline
2026-05-06,1207219.93,Ecommerce Pipeline
2026-05-07,1299425.32,Ecommerce Pipeline
2026-05-08,1299846.79,Ecommerce Pipeline
2026-05-09,1225065.76,Ecommerce Pipeline
2026-05-10,1215429.49,Ecommerce Pipeline
2026-05-11,1310348.19,Ecommerce Pipeline
2026-05-12,1277852.00,Ecommerce Pipeline
2026-05-13,1266512.51,Ecommerce Pipeline
2026-05-14,1255228.83,Ecommerce Pipeline
